,id,title,preview,date,zeitschrift
0,teaser-httpswwwsueddeutschedepolitiksyrien-kurden-sdf-einigung-waffenstillstand-li3378799,Einigung zwischen Kurden und Regierung,Die SDF einigen sich mit der syrischen Regierung unter Ahmed al-Scharaa auf einen Waffenstillstand. Die kurdischen Kämpfer sollen in die Armee eingegliedert werden.,Heute 15:29 Uhr,sz
1,teaser-httpswwwsueddeutschedepolitiksyrien-damaskus-und-kurden-beschliessen-waffenstillstand-li3378846,Damaskus und Kurden beschließen Waffenstillstand,"Die kurdisch angeführten Syrischen Demokratischen Kräfte (SDF) und die Übergangsregierung in Syrien haben ein umfassendes Waffenstillstandsabkommen geschlossen. Beide Seiten bestätigten, dass darin ein Fahrplan zur vollständigen Eingliederung der ...",Heute 15:21 Uhr,sz
2,teaser-httpswwwsueddeutschedemeinungiran-proteste-exilgemeinde-kommentar-li3376141,So verraten die Exil-Iraner ihr eigenes Volk,"Sie sind zerstritten, ja verfeindet. Dabei brauchen die Menschen im Land deren Hilfe so dringend. All die toten Regimegegner mahnen: Es gibt Größeres als die eigene Ideologie.",Heute 15:16 Uhr,sz
3,teaser-httpswwwsueddeutschedepolitikisrael-auch-die-armee-geht-von-70-000-toten-in-gaza-aus-li3378849,Auch die Armee geht von 70 000 Toten in Gaza aus,Israels Militär geht israelischen Medienberichten zufolge inzwischen selbst von rund 70 000 im Krieg im Gazastreifen getöteten Palästinensern aus. Bislang hatte Israel die von den dortigen Gesundheitsbehörden veröffentlichten Opferzahlen ...,Heute 15:15 Uhr,sz
4,teaser-httpswwwsueddeutschedepolitiknahost-israel-will-gaza-grenze-nach-aegypten-oeffnen-li3378843,Israel will Gaza-Grenze nach Ägypten öffnen,Israel will im Gazastreifen den nach Ägypten führenden Grenzübergang Rafah an diesem Sonntag öffnen. Das teilte das Koordinationsbüro der israelischen Militärbesatzung am Freitag in Jerusalem mit. Erlaubt seien Grenzübertritte in beide Richtungen ...,Heute 15:07 Uhr,sz
5,teaser-httpswwwsueddeutschedepolitikbeirut-hotel-commodore-li3375171,Wo der Papagei in der Lobby die Granaten imitiert,"Das „Commodore“ war ein Hotel wie aus einem Roman von John le Carré: Spione, Diplomaten und Journalisten trafen sich hier während des libanesischen Bürgerkriegs. Jetzt muss das legendäre Haus schließen.",Heute 14:09 Uhr,sz
6,teaser-httpswwwsueddeutschedepolitikiran-massenverhaftungen-regierungsgegnern-proteste-revolutionsgarde-botschafter-li3378340,Regime lässt Tausende Regierungsgegner festnehmen,"„Sie ‌verhaften jeden“, sagt ein Aktivist. Auch Anwälte und Ärzte schildern ein rigoroses Vorgehen ‍der Behörden. Die Staatsführung versucht offenbar, ein Aufflammen neuer Proteste zu verhindern.",Heute 10:00 Uhr,sz
7,teaser-httpswwwsueddeutschedepolitikpodcast-nachrichten-auf-den-punkt-syrien-kurden-li3377932,Syrien: Der kurdische Kampf um  Rojava,"Syriens Kurden wehren sich dagegen, dass Damaskus über das ganze Land herrschen will. Die humanitäre Lage in der belagerten Stadt Kobane ist katastrophal.",29.1.2026,sz
8,teaser-httpswwwsueddeutschedepolitikeu-iran-revolutionsgarde-terrorliste-li3377895,EU setzt iranische Revolutionsgarde auf Terrorliste,"Um sich an der Macht zu halten, hat die iranische Führung zuletzt erneut Gräueltaten verüben lassen. Brüssel reagiert nun darauf.",29.1.2026,sz
9,teaser-httpswwwsueddeutschedepolitikgazastreifen-medien-zugangssperre-klage-journalisten-li3377888,Recherche nur unter Aufsicht,"Internationale Journalisten dürfen immer noch nicht unabhängig in den Gazastreifen einreisen. Israels höchstes Gericht vertagt seine Entscheidung über die Zugangssperre, macht der Regierung aber einen Vorschlag.",29.1.2026,sz
10,teaser-httpswwwsueddeutschedepolitikregierungsbildung-trump-mischt-sich-im-irak-ein-li3377583,Trump mischt sich im Irak ein,Der ehemalige irakische Ministerpräsident Nuri al-Maliki steht ungeachtet scharfer Warnungen aus den USA vor einer Rückkehr an die Macht. Das wichtigste Bündnis der schiitischen Parteien im Parlament nominierte den Politiker als Kandidaten für das ...,28.1.2026,sz
11,teaser-httpswwwsueddeutschedemeinungiran-revolutionsgarde-eu-terrorliste-kommentar-li3376666,"Was die Revolutionsgarde angerichtet hat, ist Terror",In der Islamischen Republik hat ein Bruch stattgefunden. Dieser Bruch muss auch die europäische Politik verändern: Die Schergen des Regimes gehören endlich auf die Terrorliste der EU.,28.1.2026,sz
12,teaser-httpswwwsueddeutschedepolitikiran-tote-proteste-usa-trump-angriff-li3376354,Sie zählen die Toten – und warten auf Trumps Flugzeugträger,Vor einem Monat begannen die Proteste in Iran. Mehr als 30 000 Menschen haben dabei wohl ihr Leben verloren. Befiehlt Donald Trump jetzt doch noch den Angriff auf das Mullah-Regime? Die Anzeichen mehren sich.,28.1.2026,sz
13,teaser-httpswwwsueddeutschedeprojekteartikelpolitikisrael-palaestinenser-geiseln-hamas-gefangene-austausch-freiheit-frieden-e369031,Die Toten zwischen uns,"Vor mehr als 23 Jahren wurden im Kibbuz Metzer fünf Menschen von Palästinensern ermordet. Dann kam einer der Terroristen im Gefangenenaustausch frei. Und jetzt? Von Tätern und Opfern und Gräben, die tiefer sind als die Hoffnung.",28.1.2026,sz
14,teaser-httpswwwsueddeutschedeprojekteartikelpolitikgaza-israel-gelbe-linie-waffenstillstand-grenze-palaestina-e503125,Was lässt Israel von Gaza übrig?,"Die „Gelbe Linie“, die fast die Hälfte des Küstenstreifens abschneidet, sollte nur eine vorübergehende Grenze sein. Doch viele Palästinenser dort befürchten: Sie werden ihr Land nicht zurückbekommen.",28.1.2026,sz
15,teaser-httpswwwsueddeutschedepolitikisrael-gaza-geiseln-zukunft-trump-li3375770,"Alle Geiseln sind zurück, doch Gazas Zukunft ist ungewiss","Der Fund des toten Ran Gvili, der letzten Geisel der Hamas, ist ein bewegender Moment für Israel – und könnte auch einen Fortschritt in Trumps Friedensplan bedeuten. Inwieweit dieser tatsächlich umgesetzt wird, ist unsicher.",27.1.2026,sz
16,teaser-httpswwwsueddeutschedepolitikiran-proteste-krankenhaeuser-sicherheitskraefte-li3375937,Berichte: Irans Sicherheitskräfte verschleppen wohl Verletzte aus Kliniken,Laut mehreren Berichten werden Protestteilnehmer aus Krankenhäusern verschleppt und inhaftiert. Auch Ärzte sollen betroffen sein.,27.1.2026,sz
